s,t,x,y
"[(3, 2)]",2729.4,"[[201.817383264685, 204.01991110036306]]","[[340.97966427065353, 172.97856540166597]]"
"[(3, 2)]",2729.5,"[[201.84066609111375, 203.9421976237888]]","[[341.0025187822219, 172.92607293776317]]"
"[(3, 2)]",2729.6,"[[201.87274333799405, 203.9759466542822]]","[[341.0243045463213, 172.9028616486854]]"
"[(3, 2)]",2729.7,"[[201.9055814652846, 203.9614669092994]]","[[341.0467748281018, 172.86711274813356]]"
"[(3, 2)]",2729.8,"[[201.88863994259745, 203.98813303874013]]","[[341.0837717256697, 172.8415482018262]]"
"[(3, 2)]",2729.9,"[[201.91906460360303, 204.0110954259039]]","[[341.1078150596607, 172.81473741052497]]"
"[(3, 2)]",2730.0,"[[201.949776233518, 204.03833836571636]]","[[341.13218377907924, 172.78870944595258]]"
"[(3, 2)]",2730.1,"[[201.98077574433873, 204.0657484536885]]","[[341.15687507768996, 172.7624438809154]]"
"[(3, 2)]",2730.2,"[[202.01044716075037, 204.09119897544167]]","[[341.1822719763435, 172.73540528088606]]"
"[(3, 2)]",2730.3,"[[202.03616600994212, 203.9116067384064]]","[[341.20889251233774, 172.66294405513216]]"
"[(3, 2)]",2730.4,"[[201.4922523175788, 203.58021182888163]]","[[341.37421475409036, 172.56069695471743]]"
"[(3, 2)]",2730.5,"[[201.52507025829027, 203.4188388217035]]","[[341.39698598107896, 172.496816987982]]"
"[(3, 2)]",2730.6,"[[201.38121621622733, 203.44228216127183]]","[[341.46120655394867, 172.47162944955508]]"
"[(3, 2)]",2730.7,"[[201.40439019803304, 203.46595052253045]]","[[341.4861754529185, 172.44612020832918]]"
"[(3, 2)]",2730.8,"[[201.35185579170883, 203.41218057621643]]","[[341.528321630399, 172.40541038010358]]"
"[(3, 2)]",2730.9,"[[201.3722216318073, 203.4384535399038]]","[[341.55424144591336, 172.38003503489657]]"
"[(3, 2)]",2731.0,"[[201.3973038641494, 203.4649754334903]]","[[341.57948126149375, 172.35432552321433]]"
"[(3, 2)]",2731.1,"[[201.42346732743576, 203.49108351574642]]","[[341.6048577883143, 172.32816757004863]]"
"[(3, 2)]",2731.2,"[[201.44986883260952, 203.5181486201035]]","[[341.6305514063775, 172.30181102646986]]"
"[(3, 2)]",2731.3,"[[201.47650857384986, 203.54546282865172]]","[[341.65655936477236, 172.27512994741107]]"
"[(3, 2)]",2731.4,"[[200.94555081723138, 202.96574926658354]]","[[341.7915862662613, 172.1479088413435]]"
"[(3, 2)]",2731.5,"[[200.93988391113487, 202.97514197194167]]","[[341.8220041601147, 172.12024199390564]]"
"[(3, 2)]",2731.6,"[[200.7503572402368, 202.96396547859484]]","[[341.8868718007665, 172.08901355179086]]"
"[(3, 2)]",2731.7,"[[200.7648205493615, 202.81206935905274]]","[[341.9131362282539, 172.0356550828866]]"
"[(3, 2)]",2731.8,"[[200.788112343018, 202.8358097835956]]","[[341.93813647375185, 172.01017808691284]]"
"[(3, 2)]",2731.9,"[[200.81162305967922, 202.86188591812964]]","[[341.9634692035836, 171.98357290459043]]"
